worker	worker_current_recode	state_abbrev	raceid	year	dem_vote	candnumber	cand_party	candvotes	tvotes	candpct	winwin	quality_cand	qualnumber	openseat	PartyDonors1	college	dist_income	total_primary	third	gop	ideo_extreme	qualbin	former_worker
0	0	"IN"	201014091	2010	0.4470000076293945	5	"Democrat"	4820	54552	0.08835610002279282	0	0	0	0		0.1172	0.42314	0.0	0.0	0.0		0.0	0.0
0	0	"WA"	200847089	2008	0.47200000762939454	6	"Third-Party"	2116	152726	0.013854877091944218	0	0	1	0		0.2649	0.82671	0.0	1.0	0.0		0.0	0.0
0	0	"NH"	201029010	2010	0.44	8	"Republican"	653	65283	0.010002600029110909	0	0	1	0		0.20799999	0.61948	0.0	0.0	1.0		0.0	0.0
0	0	"MI"	201222021	2012	0.35900001525878905	1	"Democrat"	1	1	1.0	1	1	1	0		0.15640001	0.46584	0.0	0.0	0.0		1.0	0.0
0	0	"MD"	201020051	2010	0.65	3	"Democrat"	5479	53352	0.10269530117511749	0	0	0	0		0.18180001	0.8302	0.0	0.0	0.0	1.119	0.0	0.0
0	0	"MN"	201623061	2016	0.3427000045776367	3	"Democrat"	4402	9566	0.4601714313030243	1	0	0	0		0.20959999	0.77049	0.0	0.0	0.0		0.0	0.0
0	0	"TN"	201442050	2014	0.6359999847412109	4	"Republican"	4434	30183	0.1469038873910904	0	0	0	0		0.22690001	0.47842		0.0	1.0		0.0	0.0
0	0	"WV"	200848030	2008	0.669000015258789	1	"Republican"	15919	15919	1.0	1	0	0	0		0.0854	0.32705	0.0	0.0	1.0		0.0	0.0
0	0	"MO"	201025050	2010	0.5470000076293945	5	"Republican"	3439	34141	0.10072930157184601	0	0	0	0		0.1656	0.43525	0.0	0.0	1.0		0.0	0.0
0	0	"MO"	201425061	2014	0.30700000762939456	3	"Democrat"	9706	35056	0.27687129378318787	0	0	1	0		0.1766	0.54389		0.0	0.0		0.0	0.0
0	0	"HI"	201011010	2010	0.5320000076293945	3	"Republican"	383	20837	0.018380800262093544	0	0	0	0		0.22559999	0.66111	0.0	0.0	1.0		0.0	0.0
0	0	"WA"	201247029	2012	0.610999984741211	6	"Third-Party"	2289	139186	0.016445619985461235	0	0	2	0		0.19600001	0.57156	0.0	1.0	0.0		0.0	0.0
0	0	"MD"	201020071	2010	0.7669999694824219	2	"Democrat"	5360	61155	0.08764609694480896	0	0	0	0		0.18450001	0.51012	0.0	0.0	0.0		0.0	0.0
1	0	"NE"	201027030	2010	0.20299999237060548	2	"Republican"	8915	74177	0.1201855018734932	0	0	0	0		0.1467	0.43757	0.0	0.0	1.0		0.0	1.0
0	0	"HI"	201611011	2016	0.6809999847412109	7	"Democrat"	1036	92095	0.01124925259500742	0	0	2	1		0.2395	0.7818	0.0	0.0	0.0		0.0	0.0
0	0	"NJ"	201030021	2010	0.32099998474121094	1	"Democrat"	1	1	1.0	1	0	0	0		0.15689999	0.55993	0.0	0.0	0.0		0.0	0.0
0	0	"MD"	201020020	2010	0.659000015258789	5	"Republican"	2401	21062	0.11399679630994797	0	0	0	0		0.14029999	0.56215	0.0	0.0	1.0		0.0	0.0
0	0	"LA"	201618039	2016		12	"Democrat"	28385	320454	0.08857745677232742	0	0	2	1		0.1424	0.44668	0.0	0.0	0.0		0.0	0.0
0	0	"IN"	201014010	2010	0.6029999923706054	8	"Republican"	1194	25890	0.046118199825286865	0	0	0	0		0.1419	0.47613	0.0	0.0	1.0		0.0	0.0
0	0	"CA"	201605209	2016	0.7043000030517578	5	"Third-Party"	6400	164938	0.038802459836006165	0	0	1	1		0.16430001	0.67419	0.0	1.0	0.0		0.0	0.0
0	0	"OH"	201035061	2010	0.47400001525878904	2	"Democrat"	15571	50093	0.31084179878234863	0	0	0	0		0.11	0.38543	0.0	0.0	0.0		0.0	0.0
0	0	"FL"	201609070	2016	0.5147000122070312	2	"Republican"	11407	49935	0.22843696177005768	0	1	2	0		0.2458	0.57146	0.0	0.0	1.0		1.0	0.0
1	1	"WA"	201647049	2016		5	"Democrat"	2320	97700	0.02374616265296936	0	0	1	0		0.123	0.52484	0.0	0.0	0.0		0.0	0.0
0	0	"WA"	201047079	2010		6	"Third-Party"	8860	138909	0.06378276646137238	1	0	1	0		0.31129998	0.59358	0.0	1.0	0.0		0.0	0.0
0	0	"CA"	201205339	2012		8	"Democrat"	847	113060	0.007491596974432468	0	0	1	0		0.3566	0.92111	0.0	0.0	0.0		0.0	0.0
0	0	"OH"	200835070	2008	0.4179999923706055	4	"Republican"	4030	77330	0.052114300429821014	0	0	2	1		0.13239999	0.51306	0.0	0.0	1.0	1.611	0.0	0.0
0	0	"NJ"	201230021	2012	0.4109999847412109	3	"Democrat"	1327	15108	0.08783426135778427	0	0	0	0		0.15630001	0.56135	0.0	0.0	0.0		0.0	0.0
0	0	"MD"	201620011	2016	0.286200008392334	2	"Democrat"	29729	58276	0.5101413726806641	1	0	1	0		0.18190001	0.69254	0.0	0.0	0.0		0.0	0.0
0	0	"NE"	201427010	2014	0.3120000076293945	3	"Republican"	4110	70638	0.058183979243040085	0	0	1	0		0.20879999	0.5431		0.0	1.0		0.0	0.0
0	0	"GA"	200810111	2008	0.31799999237060544	1	"Democrat"	15099	15099	1.0	1	0	0	0		0.1696	0.53425	0.0	0.0	0.0		0.0	0.0
0	0	"IL"	201013110	2010	0.42700000762939455	5	"Republican"	5237	50443	0.10382019728422165	0	0	1	0		0.15020001	0.55276	0.0	0.0	1.0		0.0	0.0
0	0	"MO"	201625061	2016	0.28350000381469725	5	"Democrat"	2931	28534	0.10271956026554108	0	0	0	0		0.19139999	0.58532	0.0	0.0	0.0		0.0	0.0
0	0	"CA"	200805520	2008	0.40900001525878904	4	"Republican"	2074	66405	0.031232599169015884	0	0	2	1		0.19409999	0.67705	0.0	0.0	1.0		0.0	0.0
0	0	"NH"	200829010	2008	0.53	4	"Republican"	534	36273	0.014721699990332127	0	0	1	0		0.222	0.64717	0.0	0.0	1.0		0.0	0.0
1	0	"OH"	201635030	2016	0.6856999969482422	1	"Republican"	1	1	1.0	1	1	1	0		0.187	0.4586	0.0	0.0	1.0	1.189	1.0	1.0
0	0	"CA"	201605319	2016	0.5538000106811524	5	"Democrat"	12418	112620	0.1102646067738533	0	0	2	0		0.1444	0.58668	0.0	0.0	0.0		0.0	0.0
0	0	"CA"	201605509	2016	0.3591999816894531	5	"Republican"	10458	153289	0.06822407245635986	0	0	1	0		0.18879999	0.71692	0.0	0.0	1.0		0.0	0.0
0	0	"NJ"	201230090	2012	0.7469999694824219	3	"Republican"	2623	9265	0.2831084728240967	0	0	0	0		0.2093	0.59142	0.0	0.0	1.0		0.0	0.0
0	0	"CA"	201205209	2012	0.740999984741211	7	"Democrat"	4095	107029	0.03826065734028816	0	0	2	0		0.1728	0.60563	0.0	0.0	0.0		0.0	0.0
0	0	"MI"	201422130	2014	0.83	1	"Republican"	1	1	1.0	1	0	0	0		0.092	0.31887		0.0	1.0		0.0	0.0
0	0	"NH"	201629010	2016	0.4434000015258789	5	"Republican"	1347	56699	0.023757033050060272	0	0	1	0		0.2376	0.71277	0.0	0.0	1.0		0.0	0.0
0	0	"KS"	201616041	2016	0.2940999984741211	2	"Democrat"	8936	18425	0.48499321937561035	0	0	0	0		0.19049999	0.52054	0.0	0.0	0.0		0.0	0.0
0	0	"TN"	201242050	2012	0.6659999847412109	5	"Republican"	3381	20677	0.16351501643657684	0	0	0	0		0.2194	0.44322	0.0	0.0	1.0		0.0	0.0
0	0	"AR"	201004030	2010	0.27600000381469725	8	"Republican"	7078	61952	0.11424969881772995	0	0	5	1		0.1518	0.40674	0.0	0.0	1.0	1.583	0.0	0.0
0	0	"OH"	201635080	2016	0.2696999931335449	15	"Republican"	1579	132697	0.01189928874373436	0	0	2	1		0.153	0.58213	0.0	0.0	1.0		0.0	0.0
0	0	"TN"	201442061	2014	0.24399999618530274	1	"Democrat"	1	1	1.0	1	0	0	0		0.1356	0.45975		0.0	0.0	1.205	0.0	0.0
0	0	"IN"	201414070	2014	0.5670000076293945	5	"Republican"	1057	13909	0.07599396258592606	0	0	0	0		0.145	0.39238		0.0	1.0		0.0	0.0
