"","worker","worker_current_recode","state_abbrev","raceid","year","dem_vote","candnumber","cand_party","candvotes","tvotes","candpct","winwin","quality_cand","qualnumber","openseat","PartyDonors1","college","dist_income","total_primary","third","gop","ideo_extreme","qualbin","former_worker"
"1",0,0,"IN",201014091,2010,0.447000007629395,5,"Democrat",4820,54552,0.0883561000227928,0,0,0,0,NA,0.1172,0.42314,0,0,0,NA,0,0
"2",0,0,"WA",200847089,2008,0.472000007629395,6,"Third-Party",2116,152726,0.0138548770919442,0,0,1,0,NA,0.2649,0.82671,0,1,0,NA,0,0
"3",0,0,"NH",201029010,2010,0.44,8,"Republican",653,65283,0.0100026000291109,0,0,1,0,NA,0.20799999,0.61948,0,0,1,NA,0,0
"4",0,0,"MI",201222021,2012,0.359000015258789,1,"Democrat",1,1,1,1,1,1,0,NA,0.15640001,0.46584,0,0,0,NA,1,0
"5",0,0,"MD",201020051,2010,0.65,3,"Democrat",5479,53352,0.102695301175117,0,0,0,0,NA,0.18180001,0.8302,0,0,0,1.119,0,0
"6",0,0,"MN",201623061,2016,0.342700004577637,3,"Democrat",4402,9566,0.460171431303024,1,0,0,0,NA,0.20959999,0.77049,0,0,0,NA,0,0
"7",0,0,"TN",201442050,2014,0.635999984741211,4,"Republican",4434,30183,0.14690388739109,0,0,0,0,NA,0.22690001,0.47842,NA,0,1,NA,0,0
"8",0,0,"WV",200848030,2008,0.669000015258789,1,"Republican",15919,15919,1,1,0,0,0,NA,0.0854,0.32705,0,0,1,NA,0,0
"9",0,0,"MO",201025050,2010,0.547000007629394,5,"Republican",3439,34141,0.100729301571846,0,0,0,0,NA,0.1656,0.43525,0,0,1,NA,0,0
"10",0,0,"MO",201425061,2014,0.307000007629395,3,"Democrat",9706,35056,0.276871293783188,0,0,1,0,NA,0.1766,0.54389,NA,0,0,NA,0,0
"11",0,0,"HI",201011010,2010,0.532000007629394,3,"Republican",383,20837,0.0183808002620935,0,0,0,0,NA,0.22559999,0.66111,0,0,1,NA,0,0
"12",0,0,"WA",201247029,2012,0.610999984741211,6,"Third-Party",2289,139186,0.0164456199854612,0,0,2,0,NA,0.19600001,0.57156,0,1,0,NA,0,0
"13",0,0,"MD",201020071,2010,0.766999969482422,2,"Democrat",5360,61155,0.087646096944809,0,0,0,0,NA,0.18450001,0.51012,0,0,0,NA,0,0
"14",1,0,"NE",201027030,2010,0.202999992370605,2,"Republican",8915,74177,0.120185501873493,0,0,0,0,NA,0.1467,0.43757,0,0,1,NA,0,1
"15",0,0,"HI",201611011,2016,0.680999984741211,7,"Democrat",1036,92095,0.0112492525950074,0,0,2,1,NA,0.2395,0.7818,0,0,0,NA,0,0
"16",0,0,"NJ",201030021,2010,0.320999984741211,1,"Democrat",1,1,1,1,0,0,0,NA,0.15689999,0.55993,0,0,0,NA,0,0
