Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2536076,28-Feb-23,Missouri,Kansas City,2300 block of Blue Ridge Blvd,1,3,N/A
2535958,28-Feb-23,Missouri,Kansas City,3100 block of E 51st St,0,1,N/A
2535944,28-Feb-23,Virginia,Richmond,3019 Nine Mile Rd,0,2,N/A
2535947,28-Feb-23,Missouri,Saint Louis (Richmond Heights),2 The Blvd Saint Louis,0,1,N/A
2535541,28-Feb-23,Tennessee,Memphis,1000 block of N Watkins St,1,1,N/A
2535883,28-Feb-23,Tennessee,Chattanooga,E 52nd St,0,1,N/A
2535534,28-Feb-23,Tennessee,Memphis,Vance Ave and Abel St,0,2,N/A
2535843,28-Feb-23,Texas,Texas City,6200 block of FM 1765,0,1,N/A
2536722,28-Feb-23,Michigan,Grand Rapids,M.L.K. Jr St SE and Alto Ave SE,0,1,N/A
2536717,28-Feb-23,Illinois,Chicago,4700 block of S Elizabeth St,0,1,N/A
2537558,28-Feb-23,Pennsylvania,Erie,1600 block of Plum St,0,2,N/A
2535829,28-Feb-23,Maryland,Baltimore,500 block of Payson St,0,1,N/A
2535813,28-Feb-23,West Virginia,Saint Albans,1400 block of Cousin Dr,0,1,N/A
2535792,28-Feb-23,Florida,Tallahassee,1900 block of Lake Bradford Rd,0,1,N/A
2535786,28-Feb-23,Florida,Fountain,Singer Rd,0,1,N/A
2535770,28-Feb-23,Florida,Christmas,24000 E Colonial Dr,0,1,N/A
2536578,28-Feb-23,Tennessee,Memphis,3500 block of Allandale Rd,0,1,N/A
2535507,28-Feb-23,Illinois,Rock Island,800 block of 46th St,0,2,N/A
2535633,28-Feb-23,Texas,Katy,1000 block of Apache Falls Dr,0,1,N/A
2535712,28-Feb-23,Illinois,Chicago,1600 block of S Throop St,0,1,N/A
2535704,28-Feb-23,Illinois,Chicago,2700 block of N Kostner Ave,0,1,N/A
2535683,28-Feb-23,North Carolina,Cary,5016 Green Hope School Rd,0,1,N/A
2536553,28-Feb-23,North Carolina,Durham,4515 NC-55,1,1,N/A
2535685,28-Feb-23,Illinois,Chicago,7200 block of S Lafayette Ave,0,1,N/A
2536573,28-Feb-23,Maryland,Baltimore,1300 block of W Baltimore St,0,1,N/A
2536523,28-Feb-23,Delaware,Wilmington,2300 block of Thatcher St,0,2,N/A
2536211,28-Feb-23,Texas,Lewisville,1902 S State Hwy 121,0,2,N/A
2535596,28-Feb-23,Colorado,Pueblo,1100 block of Fearnow Ave,0,1,N/A
2535586,28-Feb-23,Colorado,Pueblo,1600 block of E 15th St,0,1,N/A
2536502,28-Feb-23,Indiana,Elkhart,1000 block of Center St,0,1,N/A
2536096,28-Feb-23,Texas,San Antonio,2106 Burnett St,1,1,N/A
2535908,28-Feb-23,District of Columbia,Washington,2845 Alabama Ave SE,0,1,N/A
2536445,28-Feb-23,Florida,Tarpon Springs,706 S Grosse Ave,0,1,N/A
2536456,28-Feb-23,Ohio,Columbus,1000 block of Arness Ave,0,1,N/A
2536453,28-Feb-23,Florida,Holiday,US-19 and Flora Ave,0,1,N/A
2536119,28-Feb-23,Ohio,Columbus,E 22nd Ave and Ontario St,0,3,N/A
2535484,28-Feb-23,Michigan,Detroit,Conant St and Nevada Ave,0,1,N/A
2536410,28-Feb-23,Texas,Houston,9200 block of Rasmus Dr,0,1,N/A
2536408,28-Feb-23,Florida,Coral Gables,2334 Ponce De Leon Blvd,0,1,N/A
2535423,28-Feb-23,Colorado,Colorado Springs,3650 Maizeland Rd,0,1,N/A
2536317,28-Feb-23,Georgia,Cartersville,Berkley Place SE,0,1,N/A
2536272,28-Feb-23,Georgia,Decatur,1450 Commerce Dr,0,1,N/A
2537002,28-Feb-23,Mississippi,Mccomb,1300 14th St,0,2,N/A
2535652,28-Feb-23,Kentucky,Covington,300 block of Madison Pike,0,1,N/A
2535667,28-Feb-23,Ohio,Goshen,7200 block of Pleasant Renner Rd,0,1,N/A
2535892,28-Feb-23,Pennsylvania,Pittsburgh,900 block of Pennsylvania Ave,0,1,N/A
2537185,28-Feb-23,Iowa,Davenport,4100 block of Fairmount Ave,0,1,N/A
2536109,28-Feb-23,California,Florin,CA-99 and Florin Rd,0,1,N/A
2537075,28-Feb-23,California,Piedmont,Boulevard Way and Crofton Ave,0,1,N/A
2537080,28-Feb-23,California,Stockton,1700 block of S El Dorado St,0,1,N/A
2536662,28-Feb-23,North Carolina,Lumberton,2400 block of State Hwy 72 W,1,1,N/A
2536176,28-Feb-23,Ohio,Columbus,5400 block of Newport Rd,0,1,N/A
2539096,28-Feb-23,Rhode Island,Providence,Pearl St and Providence St,0,1,N/A
2536130,28-Feb-23,Missouri,Saint Louis (Vinita Park),800 block of Madison St,0,1,N/A
2536099,28-Feb-23,Mississippi,Jackson,1253 Wood Village Dr,0,1,N/A
2536085,28-Feb-23,Kansas,Topeka,1611 SE 29th St,0,1,N/A
2536083,28-Feb-23,Kansas,Wichita,2000 block of S Grove St,0,1,N/A
2536931,28-Feb-23,Kentucky,Louisville,Denmark St and Bellevue Ave,0,1,N/A
2536052,28-Feb-23,Louisiana,Baton Rouge,356 Apartment Ct Dr,0,1,N/A
2536030,28-Feb-23,Tennessee,Memphis,1400 block of South Ave,0,1,N/A
2536002,28-Feb-23,Louisiana,New Orleans,2600 block of N Miro St,0,1,N/A
2535723,28-Feb-23,Illinois,Chicago,8700 block of S Lafayette Ave,0,0,N/A
2535932,27-Feb-23,Maryland,Fairlawn,14100 block of Castle Blvd,0,1,N/A
2535929,27-Feb-23,District of Columbia,Washington,Minnesota Ave SE and 25th St SE,0,1,N/A
2535927,27-Feb-23,District of Columbia,Washington,3rd St NE and K St NE,0,1,N/A
2535921,27-Feb-23,Ohio,Stow,3400 block of Adaline Dr,0,1,N/A
2535798,27-Feb-23,Virginia,Williamsburg,8185 Croaker Rd,0,1,N/A
2535902,27-Feb-23,Indiana,Indianapolis,McFarland Blvd and Sundance Dr,0,1,N/A
2536799,27-Feb-23,California,Richmond,2400 block of Aberdeen Way,0,1,N/A
2535448,27-Feb-23,Colorado,Boulder,13th St and Canyon Blvd,0,1,N/A
2535837,27-Feb-23,Kentucky,Louisville,300 block of S Clay St,0,1,N/A
